state,code,name,zone,address,Longitude,Latitude
Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",75.4516454,27.2520587
,XX-BECE,XX-BECE,,
,XX-BSPY,XX-BSPY,,
,YY-BPLC,YY-BPLC,,
